0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/animate-css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/nouislider/nouislider.min.css HTTP/1.1" 200 3554
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 200 7096
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/multi-select/css/multi-select.css HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/jquery-datatable/skin/bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 200 4063
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/css/style.css HTTP/1.1" 200 206056
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/css/themes/all-themes.css HTTP/1.1" 200 25551
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/jquery/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/bootstrap/js/bootstrap.js HTTP/1.1" 200 68954
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/bootstrap-select/js/bootstrap-select.js HTTP/1.1" 200 62661
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/node-waves/waves.js HTTP/1.1" 200 18135
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 200 16825
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/jquery-countto/jquery.countTo.js HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/raphael/raphael.min.js HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/morrisjs/morris.js HTTP/1.1" 200 66047
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/chartjs/Chart.bundle.js HTTP/1.1" 200 445259
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.js HTTP/1.1" 200 122971
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.resize.js HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.pie.js HTTP/1.1" 200 23809
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.categories.js HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.time.js HTTP/1.1" 200 11768
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/jquery-sparkline/jquery.sparkline.js HTTP/1.1" 200 123754
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/js/admin.js HTTP/1.1" 200 15884
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/js/pages/index.js HTTP/1.1" 200 2771
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/js/demo.js HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/images/user.png HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/css/materialize.css HTTP/1.1" 200 9802
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:38 +0530] "GET /Aman/images/user-img-background.jpg HTTP/1.1" 200 26835
